able	jvkf
about	jvksd
above	jvkff
act	jad
add	jjj
after	jjdf;
again	jljlv
against	jljlvsd
age	jlf
ago	jlk
air	jl;
all	jkk
almost	jklksd
along	jkkvl
also	jksk
always	jkfjas
am	jl
America	jlf;laj
among	jlkvl
an	jv
and	jvj
animal	jvlljk
another	jvkddf;
answer	jvsff;
any	jva
appear	j;;fj;
are	j;f
area	j;fj
around	j;ksvj
as	js
ask	jsa
at	jd
away	jfja
back	vjaa
base	vjsf
be	vf
beauty	vfjsda
because	vfajssf
bed	vfj
been	vffv
before	vfjk;f
began	vfljv
begin	vfllv
behind	vfdlvj
being	vflvl
below	vfkkf
best	vfsd
better	vfddf;
between	vfdfffv
big	vll
bird	vl;j
black	vkjaa
blue	vksf
boat	vkjd
body	vkja
book	vkka
both	vkdd
box	vkk
boy	vka
bring	v;lvl
brought	v;ksldd
build	vslkj
busy	vssa
but	vsd
by	va
call	ajkk
came	ajlf
can	ajv
car	aj;
care	aj;f
carry	aj;;a
cause	ajssf
center	afvdf;
certain	af;djlv
change	adjvlf
check	adfaa
children	adlkj;fv
city	alda
class	akjss
clear	akfj;
close	akksf
cold	akkj
color	akkk;
come	aklf
common	akllkv
complete	akl;kfdf
contain	akvdjlv
correct	ak;;fad
could	akskj
country	aksvd;a
course	aks;sf
cover	akff;
cross	a;kss
cry	a;a
cut	asd
dark	jj;a
day	jja
decide	jfaljf
deep	jff;
develop	jfffkk;
did	jlj
differ	jljjf;
different	jljjf;fvd
direct	jl;fad
do	jk
does	jkfs
dog	jkl
done	jkvf
don't	jkvd
door	jkk;
down	jkfv
draw	j;jf
drive	j;lff
dry	j;a
during	js;lvl
each	fjad
early	fj;ka
earth	fj;dd
ease	fjsf
east	fjsd
eat	fjd
end	fvj
enough	fvksld
even	fffv
ever	fff;
every	fff;a
example	fkjl;kf
eye	faf
face	jjaf
fact	jjad
fall	jjkk
family	jjllka
far	jj;
farm	jj;l
fast	jjsd
father	jjddf;
feel	jffk
feet	jffd
few	jff
field	jlfkj
figure	jlls;f
fill	jlkk
final	jlvjk
find	jlvj
fine	jlvf
fire	jl;f
first	jl;sd
fish	jlsd
five	jlff
fly	jka
follow	jkkkkf
food	jkkj
foot	jkkd
for	jk;
force	jk;af
form	jk;l
found	jksvj
four	jks;
free	j;ff
friend	j;lfvj
from	j;kl
front	j;kvd
full	jskk
game	ljlf
gave	ljff
get	lfd
girl	ll;k
give	llff
go	lk
gold	lkkj
good	lkkj
